""
name,location,business id,alias,title,rating,review_count,price,latitude,longitude
Pali Wine Co,"2130 India St San Diego, CA 92101",fyh566YXm5XJ3Ntv_GLghg,winetastingroom,Wine Tasting Room,4.0,173,$$,32.7267968,-117.1697587
FruitCraft - Fermentery & Distillery,"1477 University Ave San Diego, CA 92103",sCET1pLdKNNPBQJyjPOkww,wineries,Wineries,4.5,308,$$,32.7482172191911,-117.149462938309
LJ Crafted Wines - Wines & Tastings,"5621 La Jolla Blvd San Diego, CA 92037",7i8AdZoDySoEdT_uoMMzNA,winetastingroom,Wine Tasting Room,4.5,85,$$,32.81438,-117.2695
Village Vino,"4095 Adams Ave San Diego, CA 92116",Mh2im7E1Vs1DV8JHw-x_CQ,wine_bars,Wine Bars,4.5,183,$$,32.76307,-117.107512
Speckle Rock Vineyards,"16138 Highland Valley Rd Escondido, CA 92025",ALTc2EAwGkWfVL9gpuGdqw,wineries,Wineries,5.0,59,,33.0613615832364,-116.977404019766
The WineSellar & Brasserie,"9550 Waples St Ste 115 San Diego, CA 92121",SQEG9sfJ9Toj0Zy16Y-I7Q,french,French,4.5,234,$$$,32.90366,-117.18281
San Pasqual Winery,"8167 Center St La Mesa, CA 91942",Phqm2QvJE0uEqpxMvdzH_g,wineries,Wineries,5.0,20,$$,32.7715894,-117.0213181
Altipiano Vineyard & Winery,"20365 Camino Del Aguila Escondido, CA 92025",NKsyDqmKiNWT4HtkBh6AdA,wineries,Wineries,4.5,111,$$,33.063289642334,-117.00439453125
Gianni Buonomo Vintners,"4836 Newport Ave San Diego, CA 92107",o0flINbzGa8LDlM9Mtbfwg,winetastingroom,Wine Tasting Room,4.5,55,$$,32.745389,-117.24811
Orfila Vineyards & Winery,"13455 San Pasqual Rd Escondido, CA 92025",byCgY1g4Iw8_lR63QkiY_g,venues,Venues & Event Spaces,4.0,590,$$,33.0706662224401,-117.043723896032
Koi Zen Cellars,"12225 World Trade Dr Ste P & Q San Diego, CA 92128",Oic9__gID0APdrBIjP4Xjw,wineries,Wineries,5.0,113,$$,32.9864799,-117.072145
JuneShine Ranch,"10051 Old Grove Rd San Diego, CA 92131",Ix9HmzIlEhHN9UwQJ1_Mgg,kombucha,Kombucha,4.5,64,$$,32.898529,-117.110943
La Mesa Wine Works,"8167 Center St La Mesa, CA 91942",YVMiPOAPsEd1fXxNmpjEMA,winetastingroom,Wine Tasting Room,4.0,43,$$,32.7716259387843,-117.021328279762
Lost Cause Meadery,"8665 Miralani Dr Ste 100 San Diego, CA 92126",mAekDhV34jyXJzXghYxpsg,breweries,Breweries,5.0,112,$$,32.89526,-117.13664
Granite Lion Cellars,"2801 Jamul Highlands Rd Jamul, CA 91935",1PS0mcUZkJPyG72pk3zwVg,wineries,Wineries,4.5,26,$$,32.715435,-116.84783157306343
Let's Go Vino,"San Diego, CA 92130",-YFEhkaS2EtC0voVsmeXOw,winetours,Wine Tours,5.0,9,,32.94725799560547,-117.21234893798828
Highland Valley Vineyards,"15412 Bandy Canyon Rd Escondido, CA 92025",9qalQETuaZnFDgZrsEB7MA,wineries,Wineries,5.0,38,$$,33.0717697143555,-117.008392333984
80 Sips Around the World,"San Diego, CA 92101",XH7njeu3FvhxoTqzHTTE5g,wineries,Wineries,5.0,1,$$,32.715738,-117.1610838
Three Hills Winery,"16805 Highland Valley Rd Ramona, CA 92065",Ye4Pr0ZbC8sGPwpWqR5wvQ,winetastingroom,Wine Tasting Room,4.5,6,,33.03098,-116.96538
Baja Society Tours,"3914 Centre St San Diego, CA 92103",q_crEScigSVXHuAzTsxOuw,winetours,Wine Tours,5.0,14,,32.748614,-117.147746
Abnormal Wine Company,"16990 Via Tazon Ste 123 San Diego, CA 92127",ptA-I2Kk78jydAeJIYs2Cg,wineries,Wineries,4.0,99,$$,33.023853302002,-117.085762023926
Woof'n Rose Winery and Vineyard,"17073 Garjan Ln Ramona, CA 92065",f62YFfiriHapBhadXfMquA,wineries,Wineries,4.5,23,$$,33.021401,-116.936933
Bastian's Vineyards,"15326 Bandy Canyon Rd Escondido, CA 92025",BGfXAtLC5sHBWOKlcb17KA,wineries,Wineries,5.0,1,,33.070272,-117.011318
Vineyard Grant James,"25260 E Old Julian Hwy Ramona, CA 92065",gFPq8yqFRd9caMgkO5HvpQ,wineries,Wineries,5.0,155,$$,33.052155931209,-116.783193226939
San Diego Wine & Beer Co,"7080 Miramar Rd Ste 100 San Diego, CA 92121",bsGgav9QBtzQdTumzKpgFg,beer_and_wine,"Beer, Wine & Spirits",4.5,149,$$,32.8794982,-117.1633117
Serpentine Cider,"8665 Miralani Dr Ste 100 San Diego, CA 92126",hpUbpxrdm0cKSCQjpwLn2w,cideries,Cideries,4.5,126,$,32.8953066935246,-117.137065847519
Rustic Ridge Vineyards,"15262 Lyons Valley Rd Jamul, CA 91935",97NwIhRGPhv1c4DU9DMpPA,winetastingroom,Wine Tasting Room,4.5,19,,32.72896,-116.83318
Espinosa Vineyards and Winery,"15360 Bandy Canyon Rd Escondido, CA 92025",wLEvfL3dKvMMPD17-lpcGw,winetastingroom,Wine Tasting Room,5.0,126,$$,33.0704482,-117.0094544
Coasterra,"880 Harbor Island Dr San Diego, CA 92101",gW9QYl6rijkncwPpvdVr7A,mexican,Mexican,4.0,2659,$$,32.7245003650114,-117.188005998672
Charlie & Echo,"8680 Miralani Dr Ste 113 San Diego, CA 92126",9YDsJ5OL1hkx_vqwlJhi_Q,winetastingroom,Wine Tasting Room,4.5,12,$,32.89655,-117.13743
Guthrie CiderWorks,"6496 Marindustry Dr Ste D San Diego, CA 92121",hetSiVAGzvBo8inOEMHfKg,cideries,Cideries,5.0,44,,32.88239,-117.17715
Rose's Tasting Room,"2754 Calhoun St San Diego, CA 92110",VksLDK5jI-O53y0fFoUlQQ,winetastingroom,Wine Tasting Room,4.5,99,$$,32.7555682871263,-117.196903291263
The Shops at Bernardo Winery,"13330 Paseo Del Verano Norte San Diego, CA 92128",NBRi4QUMI8JfY9Qpgawi5w,venues,Venues & Event Spaces,4.5,13,$$,33.033277,-117.047116
So Cal Wines,"11160 Vista Sorrento Pkwy San Diego, CA 92130",0gGOIJo3MUVpuy8hAepCGQ,wineries,Wineries,4.5,2,,32.9176694,-117.2309713
Vineyard Hacienda,"12685 Campo Rd Spring Valley, CA 91978",DcCRmKBVGOQdHpiDYc--Pg,venues,Venues & Event Spaces,4.5,55,,32.723692,-116.917335
Baja Test Kitchen,"3264 Governor Dr San Diego, CA 92122",pvtP_90jq2pKR91IMUHvow,foodtours,Food Tours,5.0,59,,32.852348,-117.215253
The Wine Lover,"3968 5th Ave San Diego, CA 92103",xsnS_WeHv2QYOK2N1PKmTA,wine_bars,Wine Bars,4.0,205,$$,32.74955,-117.16078
VG Tours Valle de Guadalupe,"650 Dennery Rd Ste 531173 San Diego, CA 92153",0nPrMZQNioyeKAVCyCq9IA,winetours,Wine Tours,4.5,2,,32.5822906,-117.0343707
San Pasqual Winery Tasting Room & Gallery,"8364 La Mesa Blvd La Mesa, CA 91942",ia3GRsrEDexiodnpXe0D6w,winetastingroom,Wine Tasting Room,4.5,81,$$,32.76572,-117.01787
name,location,business id,alias,title,rating,review_count,price,latitude,longitude
Aall In Limo & Party Bus,"655 W Broadway Ste 1300 San Diego, CA 92101",pnZcC9NQxldBQyK9ccNVOQ,limos,Limos,5.0,162,,32.715375,-117.168598
Vino Carta,"2161 India St San Diego, CA 92101",m4GLKC9LG_aelSqR_BCcEg,beer_and_wine,"Beer, Wine & Spirits",4.5,63,$$,32.727181229033,-117.169526070356
Vintage Wines Limited,"6904 Miramar Rd Ste 201 San Diego, CA 92121",cPnZzKMVRXUBEx7oCB9ABA,beer_and_wine,"Beer, Wine & Spirits",4.5,40,$$,32.8792,-117.16743
Chuparosa Vineyards,"910 Gem Ln Ramona, CA 92065",D9rtDihupzA39yBh0YcAXg,wineries,Wineries,5.0,39,$$,33.009689,-116.858495
Continental Bistro,"2539 Congress Street A San Diego, CA 92110",NA9IzEA80BsNBSATIpPDOQ,wine_bars,Wine Bars,3.5,3,,32.75222,-117.196385
California Wine Line,"San Diego, CA 92101",5fkdGagUJDuc3axRWchzJQ,wineries,Wineries,5.0,2,,32.6059744,-117.0441009
Principe di Tricase Winery,"18425 Highland Valley Rd Ramona, CA 92065",RdMY32yM5MRIztG9gzuDKw,wineries,Wineries,4.5,71,$$,33.0246391,-116.932663
Poochie's Hooch Urban Cidery,"7559 Mission Gorge Rd San Diego, CA 92120",rbtrzNAu90P2GyyE55kikA,wine_bars,Wine Bars,4.0,70,,32.807324,-117.075977
Baja Xpress,"3802 Rosecrans St Ste 315 San Diego, CA 92110",Wn_5aK8ecXDi6e1lZX4Djg,winetours,Wine Tours,5.0,6,,32.753397,-117.203372
Baja California Wine Tours,"San Diego, CA 92110",-R9x8f3TaNek2JIP-4OHCA,winetours,Wine Tours,5.0,10,,32.76772,-117.19483
Serpentine Cider,"2311 El Cajon Blvd San Diego, CA 92104",JxeaJ07kzO6MYnDJ2rLoeA,cideries,Cideries,4.5,14,,32.755,-117.13971
Hatfield Creek Winery,"1625 Hwy 78 Ramona, CA 92065",V3kR-0Nb6ISBQ8ebXZJeVQ,winetastingroom,Wine Tasting Room,4.5,103,$$,33.0441995688399,-116.828583402447
Record Family Wines,"1035 University Ave San Diego, CA 92103",3mk6Tl3irp7x8baYoLRu9w,winetastingroom,Wine Tasting Room,5.0,3,,32.74826,-117.15441
Dulzura Vineyard & Winery,"17323 Hwy 94 Dulzura, CA 91917",Wjn9nDudZgJ5okiB8Cbfmg,wineries,Wineries,5.0,24,$$,32.639056,-116.769926
Quigley Fine Wines,"1551 Fourth Ave San Diego, CA 92101",U1F6GFNI_nw4WawP546qHQ,winetastingroom,Wine Tasting Room,4.5,3,$$,32.6837679,-117.0923119
Bottlecraft Beer Shop and Tasting Room,"2252 India St San Diego, CA 92101",PgGEPIeE2JPf40xNwWj6UQ,beer_and_wine,"Beer, Wine & Spirits",4.5,327,$$,32.7269453,-117.1695079
Wine Smarties,"9550 Waples St San Diego, CA 92121",TMuXpHvWmWlW__vpyREVjA,wineries,Wineries,4.5,26,,32.90345,-117.18322
Cheval Winery,"2919 Hill Valley Dr Escondido, CA 92029",Ou-vDAZxoKeYkBDZzg_ZdA,wineries,Wineries,4.5,33,$$,33.12341,-117.13297
HotShots Winery Tours,"1333 8th Ave Unit 101 San Diego, CA 92101",dPReoocjZhrq382cOnw6yw,winetours,Wine Tours,5.0,1,,32.719494,-117.157209
Aha Baja Wine Tours,"3941 Mason St San Diego, CA 92110",Xr07i4R5yJkvjEz4Jedx6A,winetours,Wine Tours,5.0,22,,32.75283,-117.19735
Boutique Vino,"923 E St San Diego, CA 92101",Z2b2iFfFuC9Ei-kl-3m8kg,wine_bars,Wine Bars,5.0,62,$$,32.71451,-117.15622
Wine Tours Baja,"222 Park Blvd San Diego, CA 92101",R49UxDULhZfG-rRG5AEfUA,winetours,Wine Tours,3.0,2,,32.7077165,-117.1547876
EA Rides,"San Diego, CA 92117",SpKdmM-8teK5Cw3w1EXsfA,towncarservice,Town Car Service,5.0,1,,32.81862,-117.19869
Mermaid Valley Vineyard,"18420 Highland Valley Rd Ramona, CA 92065",rtE6b7MidHry2wEa9ls3gw,winetastingroom,Wine Tasting Room,5.0,3,,33.0268827348204,-116.933421958665
La Finquita Winery & Vineyard,"23123 Vista Ramona Rd Ramona, CA 92065",HwYHguzMcK-9yezh7DnC5Q,wineries,Wineries,4.5,45,$$,33.0317768,-116.8212654
Trevi Hills,"13010 Muth Valley Rd Lakeside, CA 92040",C679sPixYuW8kXKWdzCfhA,wineries,Wineries,4.5,15,,32.89992,-116.89408
Old Julian Vineyards & Winery,"25352 Old Julian Hwy Ramona, CA 92065",5GXI0ATO4eX6RQWB0GUQPg,winetastingroom,Wine Tasting Room,5.0,4,,33.052261,-116.781211
Hungry Hawk Vineyards & Winery,"3255 Summit Dr Escondido, CA 92025",-juYJgCS_538F5k7rwGquQ,wineries,Wineries,4.5,118,$$,33.09388,-117.03008
Rancho Guejito Vineyard,"17224 San Pasqual Valley Rd Escondido, CA 92027",ctW-k4Ci81kdjE8xOA41sg,winetastingroom,Wine Tasting Room,4.5,31,,33.095456,-116.957487
Deerhorn Valley Vineyards,"2516 Honey Springs Rd Jamul, CA 91935",DhcW09IIUTVtD8dTdJOqng,oliveoil,Olive Oil,5.0,26,$$,32.6881658844452,-116.74941608486
Baja Wine Tour,"San Diego, CA 92101",RD7GHwfPtjW0e7mdR6bFrg,winetours,Wine Tours,5.0,19,,32.659888,-117.074861
Poppaea Vineyard,"25643 E Old Julian Hwy Ramona, CA 92065",ZI9j1CrN_Vw3BEztOMNBRQ,wineries,Wineries,5.0,19,$$,33.0555,-116.77747
Barrel 1 Winery,"1007 Magnolia Ave Ramona, CA 92065",swPy0eGVoD3GlScWORKJEg,wineries,Wineries,4.5,33,$$,33.0632476806641,-116.843803405762
Hillside Ranch Vineyard,"14169 Hillside Dr Jamul, CA 91935",r3zRwwwXOfT0L8ZaC0jR7A,venues,Venues & Event Spaces,5.0,1,,32.70897,-116.8649
Mahogany Mountain Vineyard and Winery,"14905 Mussey Grade Rd Ramona, CA 92065",cfMlwfp2ZIWc3Mpzg5o8CQ,winetastingroom,Wine Tasting Room,4.0,14,$$,32.9863389262394,-116.91655755043
Crystal Hill Vineyard,"24067 E Old Julian Hwy Ramona, CA 92065",IjuPgZ-M8Oy1M6ClIJNFBw,winetastingroom,Wine Tasting Room,5.0,9,$$,33.049052,-116.808999
Old Survey Vineyards,"16850 Old Survey Rd Escondido, CA 92025",W4K-o6UseGKyQxlnfiEltQ,wineries,Wineries,5.0,26,$$,33.0778968096676,-116.961576060309
Forgotten Barrel Tasting Room,"1120 W 15th Ave ESCONDIDO, CA 92025",881CXnwIREXkDjcuVTshaA,winetastingroom,Wine Tasting Room,4.5,76,$$,33.1022,-117.08685
Mission Cellars,"14053 Midland Rd Poway, CA 92064",WmDjdr2Y6XXnjainystcpA,wineries,Wineries,4.5,46,,32.96892183,-117.0359015
Turtle Rock Ridge Vineyard Winery,"18351 Woods Hill Ln Ramona, CA 92065",C9YXJNAi6FggGAJ94Qmksg,wineries,Wineries,4.5,114,$$,33.0330696105957,-116.825775146484
Schwaesdall Winery,"17677 Rancho De Oro Dr Ramona, CA 92065",Vwy9frhCg-WiurWIBznvNA,wineries,Wineries,3.5,23,$$,33.008227,-116.9243421
Vinos de Baja Tours,"555 Satiurn Blvd B1119 San Diego, CA 92154",rg4tlN0XCnWBkgT1tglg0w,winetours,Wine Tours,4.5,2,,32.5859987,-117.0909417
Wine A Bit,"928 Orange Ave Coronado, CA 92118",NoAwoG7F02b6_lb_uNdYvg,beer_and_wine,"Beer, Wine & Spirits",4.0,185,$$,32.6868795,-117.1795736
Castelli Family Vineyards,"17872 Oak Grove Rd Ramona, CA 92065",Rym_5OGVbYlRa4lvrG2JdQ,winetastingroom,Wine Tasting Room,5.0,8,,33.06372,-116.93436
Solare Ristorante Italiano,"2820 Roosevelt Rd San Diego, CA 92106",vMBbRZzpmJEKzRDDGwIReA,italian,Italian,4.0,836,$$,32.737501,-117.214158
Carruth Cellars,"118 S Cedros Ave Solana Beach, CA 92075",4IIGIWrIrMfJmlnErtmrNQ,wineries,Wineries,4.0,247,$$,32.99163,-117.27014
Alfredo's Winery Tours,"Del Faisán 6026 Col. Hipodromo 22030 Tijuana, Baja California Mexico",-5g79vqDElCoQrO65DjrBg,winetours,Wine Tours,5.0,14,,32.490805520479,-116.998528633908
Ramona Ranch Vineyard and Winery,"23578 Hwy 78 Ramona, CA 92065",hO3x4Oqt04D5BXiL3sA3Fg,wine_bars,Wine Bars,4.5,37,$$,33.057619,-116.818681
L.A. Cetto,"Av. Cañón Johnson 2108 Col. Hidalgo 22130 Tijuana, Baja California Mexico",W2not8gGBbjBMUeFmwdriA,winetastingroom,Wine Tasting Room,4.0,35,$$,32.524224,-117.037935
Correcaminos Vineyard,"1941 Lilac Rd Ramona, CA 92065",vJVWsXyZDg3GpwASETe1pQ,wineries,Wineries,5.0,29,,33.0762799,-116.86304
name,location,business id,alias,title,rating,review_count,price,latitude,longitude
Rock Canyon Vineyards,"Alpine, CA 91901",9c_BLUDYbND7lY30W_Rx1g,wineries,Wineries,3.0,7,$$,32.8350521,-116.7664109
Siela Wines,"N Coast Hwy 101 Encinitas, CA 92024",oshle3i0k6FEHN2aujSyxg,winetastingroom,Wine Tasting Room,5.0,1,,33.0656310151373,-117.3028134612
Baja Tour Guide,"22635 Tijuana, Baja California Mexico",CGHp2RipS3Toz58iwftkaQ,winetours,Wine Tours,5.0,4,,32.487371,-117.019088
SD Prime Limo Service,"San Diego, CA 92124",oWuEsirDbR4Be65213KMaw,limos,Limos,5.0,1,,32.81974,-117.08932
La Jolla Art & Wine Festival,"La Jolla, CA 92038",EzSpL_O4r00ZFg4BNi9qPw,wineries,Wineries,4.0,14,$,32.8370475769043,-117.255386352539
Diego Party Bus & Limo,"1574 Fayette St El Cajon, CA 92020",xrklEChJRpCB35HKhvVwJQ,partybusrentals,Party Bus Rentals,5.0,91,,32.816477,-116.9782967
Pamo Valley Winery Tasting Room,"603 Main St Ste 9 Ramona, CA 92065",2H1dXyHAcdTxNrbqKbJ8Bg,wineries,Wineries,4.5,54,$$,33.0455332,-116.8624832
Campo Creek Vineyards Tasting Room,"13538 Poway Rd Ste B Poway, CA 92064",1YoSxgAOK625vP0lQpR5zw,winetastingroom,Wine Tasting Room,5.0,13,$$,32.9566704507056,-117.037956596771
Perfect Pour Excursions,"Bonita, CA 91902",zzzQBQx38Kz7u2DPz7FufA,winetours,Wine Tours,5.0,5,,32.669254302978516,-117.02098846435547
Mia Marie Vineyards,"15036 Highland Valley Rd Escondido, CA 92025",RYmQTiLfU5oIFcZ3k1O38Q,winetastingroom,Wine Tasting Room,5.0,16,,33.070192,-117.016705
WestBrew Del Mar,"1435 Camino Del Mar Ste D Del Mar, CA 92014",KQp2vs61ThgiZX46jmhtFg,breweries,Breweries,4.0,18,,32.959438,-117.264879
Edwards Vineyard & Cellars,"26502 Hwy 78 Ramona, CA 92065",YD8O_qG9BNlQm3OtzONDww,wineries,Wineries,4.5,17,$$,33.0666150952216,-116.757814805557
Temecula Wine Tours,"1852 Grand Ave San Diego, CA 92109",M3Q8GYaE7hRIrn9MzpUknA,winetours,Wine Tours,1.0,2,,32.7992668151855,-117.235542297363
Milagro Farm Winery,"18750 - C Littlepage Rd Ramona, CA 92065",cfUvT3H6CGh_81U0Z-X7gw,wineries,Wineries,4.5,141,$$,33.052468,-116.750704
ZXQ Vineyards,"15454 Highlands Crest Way Escondido, CA 92025",7KJwHtJ30t78VYBQMVLjAw,wineries,Wineries,4.5,2,,33.06571,-116.99772
Kohill Winery,"17211 Highlander Dr Ramona, CA 92065",Tu52NWMO_dnv5v4iyuLykg,wineries,Wineries,5.0,17,$$,33.0285148620605,-116.953086853027
Destination Temecula Wine Country Tour,"3703 Florida St San Diego, CA 92104",eyqqu-pMpaEbB_HEkkwG1Q,tours,Tours,5.0,3,,32.7453801,-117.1435851
The Ranch at Bandy Canyon,"16251 Bandy Canyon Rd Escondido, CA 92025",2LsSOLbxHNgCnwbffv_LGQ,venues,Venues & Event Spaces,4.0,172,,33.07278,-116.97951
I Love Wine,"2420 Grand Ave Ste B2 San Diego, CA 91902",fT9ysnQvYXw-RUD4GNodEQ,wineries,Wineries,1.0,1,,32.801342,-117.2253647
Top Dog Limo Bus,"4528 Dawes St San Diego, CA 92109",bRRJTACiVYFeg_5EdPIT_Q,limos,Limos,5.0,123,,32.798313,-117.2503894
Barrel Riot,"135 E Grand Ave Escondido, CA 92025",Z9e6h-DPZeugrv7shpfl5w,wineries,Wineries,4.5,2,,33.12177,-117.08054
Vineyard Grant James,"25260 Old Julian Hwy Ramona, CA 92065",C8W1fWjVOyA10rufYYfM6Q,wineries,Wineries,5.0,1,$$,33.05236,-116.78259
GSalinas Negociante en Vinos,"Blvd. Salinas 10650 Col. Centro 22014 Tijuana, Baja California Mexico",JVMnIFpnAxRNxHrJKqxWQg,wineries,Wineries,5.0,6,$$$,32.5126076,-117.0024643
Good Omen Mead,"141 E Grand Ave Escondido, CA 92025",DM_xFbiqpOgnDBCk9wUwow,winetastingroom,Wine Tasting Room,5.0,5,,33.12182,-117.08044
BK Cellars Urban Winery & Tasting Lounge,"2225 Barham Dr Ste D Escondido, CA 92029",jLuN4SWSfcoaggcWuZqbKw,wine_bars,Wine Bars,4.5,104,$$,33.1315598463006,-117.126645594835
Bite San Diego,"600 W Broadway Ste 700 San Diego, CA 92101",YcLtflTh6xD9qrnuo6VOJg,foodtours,Food Tours,4.5,973,,32.7167699,-117.16872
Bolt Transportation,"4641 Lisann St San Diego, CA 92117",h3BPdroCk3o32X8wU6fuUg,limos,Limos,4.5,108,,32.82961,-117.22482
Vina Ramona,"636 Main St Ramona, CA 92065",ado4pewdQ70rhQ-ioKUaww,wine_bars,Wine Bars,5.0,5,,33.044916,-116.862888
La Contra,"Brasil 9151 Col. Cacho 22040 Tijuana, Baja California Mexico",KkhZZgGdLyLJMflVCA5D9Q,winetastingroom,Wine Tasting Room,5.0,1,,32.521736,-117.026009
Sans V Tasting Room,"298 Enterprise St Ste D Escondido, CA 92029",4nFSeNcQny91tOID2Jfv8Q,winetastingroom,Wine Tasting Room,4.5,26,$$,33.121009,-117.115748
Talia First Class Limousines and Wine Tours,"2401 Pacific Hwy San Diego, CA 92101",RJ86vkNdLQoMeD4XMeNGOw,limos,Limos,5.0,17,,32.7294191,-117.1733942
RED O Taste of Mexico,"4340 La Jolla Village Dr San Diego, CA 92122",o3aR8CJt__6l_kfHE2qV0A,mexican,Mexican,4.0,822,$$$,32.8735,-117.21241
Culture Brewing Co - Solana Beach,"111 S Cedros Ave Solana Beach, CA 92075",d4o-U-sMB27GLGnQXAjbuw,breweries,Breweries,4.5,348,$,32.9915933,-117.2707002
Rashelica Winery & Art Garden,"17948 Hwy 67 Ramona, CA 92065",Nqy6NwQSTuAjsBpE7AoJYQ,wineries,Wineries,3.5,144,$$,33.010505,-116.919508
David's Friendly Market,"543 32nd St San Diego, CA 92102",-AAPU-m0TXs_q7l8_0f21A,grocery,Grocery,5.0,3,,32.7114199,-117.12508
Starlite Transportations,"San Diego, CA 92101",zHUNmnvZlJgQGQDN83KyTg,limos,Limos,5.0,3,,32.7211,-117.16431
MS Tours,"Paseo Del Mar 12 I 22703 Rosarito, Baja California Mexico",1FGNIKrsyjxvdl6hNlmptg,winetours,Wine Tours,5.0,6,,32.457885,-116.875277
San Diego Charter,"1426 Morena Blvd San Diego, CA 92110",W1Qr_MjddMOjKg0mnuz2cg,limos,Limos,4.5,142,,32.773079,-117.204449
Roll OutThe Barrell Charity Event by Meritage,"162 S Rancho Santa Fe Rd Encinitas, CA 92024",wyLm9fIoamN-VALcu3nUVg,wineries,Wineries,4.0,1,,33.037121,-117.238654
Baja Viajes,"Plutarco Elias Calles 9196-D Col. Zona Centro 22000 Tijuana, Baja California Mexico",9LoVoBR2UemAgeZ0UxWBxQ,historicaltours,Historical Tours,5.0,2,,32.525173,-117.026242
Take Me To Baja,"San Diego, CA 92101",JH6-XE_AZF-0_lhPTTx6zA,tours,Tours,3.5,3,,32.7176361083984,-117.162132263184
Divine Wine & Spirits,"6585 Osler St Ste 100 San Diego, CA 92111",KGkjZeHGtLwOLHbYXn6nzQ,beer_and_wine,"Beer, Wine & Spirits",5.0,4,,32.79197,-117.1759
Corporate Helicopters,"3753 John J Montgomery Dr Ste 2 San Diego, CA 92123",drcM_Q8ceG-0-M7PqbjCKw,aerialtours,Aerial Tours,5.0,331,,32.8119984,-117.1424795
Panevino,"Centro Comercial Rocasa Blvd. Agua Caliente 3400-14A 22420 Tijuana, Baja California Mexico",vTwZzBOAOVxT-GIP8YhSRA,wine_bars,Wine Bars,4.0,7,$$,32.5232574,-117.0338075
Licores Kentucky,"Calle Puerto y 3ra S/N Col. Centro 22000 Tijuana, Baja California Mexico",B7gID-M2EsdpthrTcwTNYA,wineries,Wineries,5.0,1,,32.534236,-117.034976
California Coast Limo,"San Diego, CA 92104",apX0C_Sb4cxquccWBou1KA,limos,Limos,5.0,41,,32.7456146222639,-117.142368990043
San Diego Sunshine,"432 Maple St Ste 6 Ramona, CA 92065",bpNfsJ916FcpQ-Kqz59Jgg,distilleries,Distilleries,5.0,31,$,33.04604,-116.87653
Boca Roja Baja Wine Adventures,"San Diego, CA 92130",JACl8HdJ59v9Q3t4YMsR8w,foodtours,Food Tours,5.0,242,,32.9436607,-117.2088167
Barrica 9,"Av. Revolución 1265 Col. Zona Centro 22000 Tijuana, Baja California Mexico",HxTqmzT4G43iAKXrB3pqQg,winetastingroom,Wine Tasting Room,4.5,7,$$,32.53043,-117.0365
Sip Wine & Beer,"129-131 S Orange St Escondido, CA 92025",J8p9ZucL3qzANykt0qaoVA,beer_and_wine,"Beer, Wine & Spirits",4.5,75,$$,33.11918,-117.08546
name,location,business id,alias,title,rating,review_count,price,latitude,longitude
Tijuana Private Driver,"Tijuana, Baja California Mexico",Tb6JUYRnzpuAUlKE6HgDrQ,winetours,Wine Tours,5.0,46,,32.531194137936,-117.119191065431
The Wine Bank,"363 5th Ave Ste 100 San Diego, CA 92101",DVAxECR4PZs2FDg8CVQpFg,beer_and_wine,"Beer, Wine & Spirits",3.0,129,$$,32.7091293334961,-117.159812927246
Bobar Liquor II,"1777 Palm Ave San Diego, CA 92154",iZGguWv3-r8ohAHIOj7guQ,beer_and_wine,"Beer, Wine & Spirits",3.5,5,$,32.583574,-117.0951068
